Unnamed: 0,Name,Price,Unit,URL,Distributor,Product-ID,Dates,Product-Specification
,American Eggplant,$34.33,37 lb,https://shop.gocheetah.com/product/Eggplant%2C%20Purple%2C%2018%20ct/101366,Cheetah,American-EggplantCheetah93fec582-f499-435a-b44f-31ea8e97dca6,"[""2024-10-22""]",
,Carrot,$16.52,27 lb,https://shop.gocheetah.com/product/Carrots%2C%20Jumbo%2C%2025%20lb/101112,Cheetah,CarrotCheetah6800a476-6550-4591-9d2f-2f742c898404,"[""2024-10-22""]",
,Orange,$49.85,25 lb,https://shop.gocheetah.com/product/Orange%2C%20Navel%2C%20113%20ct/101116,Cheetah,OrangeCheetahefb2b857-b43f-436c-8b90-8ec3346ee07e,"[""2024-10-22""]",
,Lemon,$47.36,40 lb,https://shop.gocheetah.com/product/Citrus%2C%20Fresh%2C%20Lemon%2C%20Choice%2C%20140's%2C%208%2F5%20lb/122775,Cheetah,LemonCheetah86a313e5-c62d-454b-9362-e3264020e4e6,"[""2024-10-22""]",
,Firm Tofu,$15.27,25 lb,https://shop.gocheetah.com/product/Tofu%2C%20Extra%20Firm%2C%20Organic%2C%206%2F14%20oz/123357,Cheetah,Firm-TofuCheetah69481b8f-b618-41ad-b87a-810e929b43bc,"[""2024-10-22""]",
,Broccoli,$25.15,20 lbs,https://shop.gocheetah.com/search/Broccoli,Cheetah,BroccoliCheetah75c00d2e-888e-4b0e-8c54-4dabbead4f52,"[""2024-10-22""]",
,Cabbage,$24.41,47 lb,https://shop.gocheetah.com/product/Cabbage%2C%20Green%2C%2045%20lb/101392,Cheetah,CabbageCheetah174112a2-9d9d-4790-a1ae-fe9f962fdec5,"[""2024-10-22""]",
,Cauliflower,$46.80,28 lb,https://shop.gocheetah.com/product/Cauliflower%2C%20White%2C%20Cello%2C%2012%20ct/124881,Cheetah,CauliflowerCheetah229d68db-c282-43f1-8f17-10b9c1aad211,"[""2024-10-22""]",
,Lettuce,$21.44,28 lb,https://shop.gocheetah.com/product/Lettuce%2C%20Green%20Leaf%2C%2024%20ct/101416,Cheetah,LettuceCheetah4e8f288d-0ae6-4484-8dfe-043bcb17a84a,"[""2024-10-22""]",
,Spinach,$18.16,12 lb,https://shop.gocheetah.com/product/Spinach%2C%20Cleaned%2C%204%2F2.5%20lb/123529,Cheetah,SpinachCheetah214be580-1139-4123-a137-28dbef234383,"[""2024-10-22""]",
,Celery,$27.33,53 lb,https://shop.gocheetah.com/product/Celery%2C%20Naked%2C%2024%20ct/101337,Cheetah,CeleryCheetah8a00273c-5e2e-42f6-aa4b-cb45a5577889,"[""2024-10-22""]",
,Mint,$8.03,1 lb,https://shop.gocheetah.com/product/Herbs%2C%20Mint%2C%20Fresh%2C%201%20lb/112114,Cheetah,MintCheetahaafb3866-0ad5-46de-b122-6771281a79d3,"[""2024-10-22""]",
,Green Bell Pepper,$35.81,27 lb,https://shop.gocheetah.com/product/Peppers%2C%20Bell%2C%20Green%2C%2025%20lb/101353,Cheetah,Green-Bell-PepperCheetah57560838-08ec-4205-a4d6-15f3b7318648,"[""2024-10-22""]",
,Red Bell Pepper,$47.03,27 lb,https://shop.gocheetah.com/product/Peppers%2C%20Bell%2C%20Red%2C%2025%20lb/101378,Cheetah,Red-Bell-PepperCheetah81a1275f-46eb-4256-9c80-dacb0731e93a,"[""2024-10-22""]",
,Seranno,$17.46,5 lb,https://shop.gocheetah.com/product/Peppers%2C%20Chili%2C%20Serrano%2C%205%20lb/108592,Cheetah,SerannoCheetah38e42e61-e2b9-4c4b-a501-b93e764fae0f,"[""2024-10-22""]",
,Chicken Leg,$41.60,40 lb,https://shop.gocheetah.com/product/Chicken%2C%20Leg%20Meat%2C%20Boneless%2C%20Skinless%2C%20Fzn%2C%20Halal%2C%204%2F10%20Lb/125698,Cheetah,Chicken-LegCheetahc5d8f818-cc4e-4fff-955e-38c27eb9f2ac,"[""2024-10-22""]",
